net,length_um
net575,84.12µm
net277,84.03µm
net157,84µm
net716,83.28µm
_02454_,81µm
net703,80.675µm
net683,80.22µm
net42,80.16µm
net326,80.15µm
net679,79.695µm
net1031,79.64µm
net678,79.6µm
net296,79.2µm
net314,79.2µm
net50,79.12µm
net490,78.46µm
net285,77.54µm
net699,77.525µm
net63,76.86µm
net128,76.3µm
net766,76.24µm
net468,76.2µm
net334,76.05µm
_00258_,76.02µm
_05946_,75.86µm
net345,75.13µm
net280,74.78µm
net52,74.3µm
net84,73.74µm
net594,73.66µm
net358,73.65µm
net584,73.435µm
_02122_,72.72µm
net382,72.68µm
_00482_,72.46µm
_05603_,72.43µm
net135,72.16µm
_02682_,72.08µm
_02235_,72.06µm
net429,72.06µm
net20,71.96µm
_05971_,71.88µm
net289,71.3µm
net312,70.92µm
_03836_,70.82µm
net614,70.715µm
net56,70.1µm
_00174_,70.04µm
net392,69.92µm
net409,69.78µm
net536,69.585µm
net134,68.9µm
net643,68.74µm
net692,68.74µm
_01508_,68.22µm
net944,67.34µm
net673,67.3µm
net148,67.12µm
net292,66.88µm
net698,66.86µm
_00423_,66.72µm
net655,66.72µm
_01857_,66.48µm
net318,66.08µm
net11,65.28µm
net300,65.2µm
net309,65.04µm
net508,64.56µm
_00504_,64.44µm
net282,64.11µm
_05887_,63.84µm
net646,63.82µm
_02519_,63.74µm
_00260_,63.62µm
_02447_,63.61µm
net95,63.42µm
net778,63.38µm
net517,63.28µm
_02336_,63.22µm
net12,63.2µm
_04080_,63.16µm
net133,63.08µm
net321,63.02µm
_03745_,62.87µm
net662,62.56µm
net660,62.295µm
_05528_,62.28µm
_04105_,62.2µm
net154,62.1µm
_05877_,61.66µm
_02317_,61.6µm
net365,61.205µm
_04369_,61.1µm
_03901_,60.56µm
net512,60.325µm
net155,59.98µm
_00429_,59.32µm
net350,59.12µm
_01051_,58.66µm
_00675_,58.04µm
net380,57.94µm
net694,57.78µm
_01285_,57.44µm
net371,57.14µm
net86,57.1µm
net43,57.05µm
_04685_,57.03µm
_06293_,56.72µm
_01991_,56.68µm
net479,56.35µm
net668,56.26µm
net399,56.13µm
_00783_,56µm
net685,55.84µm
net150,55.56µm
net45,55.32µm
net340,55.09µm
net676,54.98µm
_03428_,54.76µm
net315,54.54µm
_05226_,54.38µm
_04147_,54.26µm
_00959_,54.18µm
_02363_,53.96µm
_03669_,53.85µm
_06013_,53.78µm
_04695_,53.495µm
net151,53.32µm
_01989_,53.22µm
net387,53.06µm
_05761_,52.62µm
_04725_,52.48µm
_04160_,52.38µm
net390,52.22µm
net268,51.98µm
net403,51.96µm
net273,51.9µm
_04212_,51.88µm
_00568_,51.66µm
_06327_,51.535µm
