net,length_um
_02616_,24.18µm
_06261_,24.18µm
_06466_,24.18µm
_00064_,24.14µm
_01773_,24.12µm
_02667_,24.12µm
_02381_,24.1µm
_00012_,24.085µm
_03753_,24.06µm
_01357_,24.04µm
_03696_,24.04µm
_01526_,24.02µm
_00596_,24µm
_00779_,24µm
_05970_,24µm
_05062_,23.985µm
_03653_,23.98µm
_03045_,23.96µm
_03321_,23.94µm
_04041_,23.9µm
_03342_,23.88µm
_05626_,23.88µm
_02286_,23.86µm
_04413_,23.86µm
_03693_,23.84µm
_00837_,23.82µm
_01602_,23.82µm
_02777_,23.81µm
_00275_,23.8µm
_06526_,23.8µm
_04379_,23.76µm
_05724_,23.74µm
_04968_,23.73µm
_03855_,23.72µm
_04282_,23.72µm
_05203_,23.72µm
_02797_,23.68µm
_05502_,23.66µm
_01200_,23.65µm
_01845_,23.64µm
_03235_,23.64µm
_00533_,23.6µm
_03647_,23.6µm
_05428_,23.6µm
_01805_,23.56µm
_05473_,23.52µm
_05868_,23.52µm
_00561_,23.5µm
_03791_,23.44µm
_00828_,23.42µm
_03322_,23.42µm
_04434_,23.42µm
_04470_,23.38µm
_05670_,23.34µm
_05867_,23.34µm
_00973_,23.32µm
_04910_,23.32µm
_06355_,23.32µm
_01494_,23.28µm
_05200_,23.28µm
_02557_,23.26µm
_02549_,23.22µm
_03114_,23.22µm
_03169_,23.14µm
_03599_,23.14µm
_06320_,23.14µm
_01538_,23.115µm
_03642_,23.11µm
_05011_,23.1µm
_01452_,23.08µm
_01959_,23.08µm
_01244_,23.06µm
_01629_,23.06µm
_02259_,23.06µm
_02351_,23.06µm
_06489_,23.04µm
_02824_,23.02µm
_04029_,23.01µm
_00124_,22.98µm
_00002_,22.96µm
_05231_,22.96µm
_05892_,22.96µm
_00915_,22.94µm
_01270_,22.94µm
_01799_,22.94µm
_02783_,22.94µm
_04940_,22.9µm
_02547_,22.86µm
_05085_,22.86µm
_06613_,22.84µm
net234,22.84µm
_05053_,22.82µm
_06147_,22.82µm
_00361_,22.8µm
_04530_,22.74µm
_04632_,22.74µm
_04772_,22.74µm
_05598_,22.74µm
_02318_,22.73µm
_00063_,22.7µm
_02232_,22.66µm
_02076_,22.65µm
_04933_,22.63µm
_04361_,22.62µm
_04900_,22.62µm
_05297_,22.62µm
_05128_,22.6µm
_02654_,22.58µm
_02906_,22.56µm
_03129_,22.52µm
_02407_,22.5µm
_03689_,22.5µm
_03920_,22.5µm
_04574_,22.5µm
_01084_,22.48µm
_04560_,22.48µm
_04562_,22.46µm
_05894_,22.44µm
_06807_,22.44µm
_00089_,22.38µm
_00413_,22.38µm
_05201_,22.38µm
_06062_,22.38µm
_00366_,22.35µm
_01297_,22.34µm
net603,22.32µm
_03707_,22.31µm
_03351_,22.3µm
_03623_,22.28µm
_00232_,22.24µm
_06218_,22.24µm
_00560_,22.22µm
_02979_,22.22µm
_01159_,22.2µm
_02181_,22.2µm
_01747_,22.16µm
_05744_,22.16µm
_06560_,22.16µm
_01427_,22.14µm
_03177_,22.14µm
_01941_,22.135µm
_04281_,22.12µm
_03095_,22.1µm
_03055_,22.08µm
_00969_,22.06µm
_01854_,22.04µm
_02712_,22.04µm
_06128_,22.04µm
_01493_,22.02µm
_03191_,22µm
_03525_,22µm
_05244_,22µm
_04019_,21.98µm
_05453_,21.96µm
_03644_,21.94µm
_00414_,21.92µm
_06496_,21.9µm
_03515_,21.88µm
_05402_,21.88µm
_01473_,21.86µm
_00308_,21.82µm
w21[2],21.82µm
_02587_,21.8µm
_04348_,21.8µm
_05212_,21.8µm
_05790_,21.8µm
_01090_,21.78µm
_00207_,21.74µm
_00825_,21.74µm
_01862_,21.74µm
_02526_,21.74µm
_05055_,21.74µm
_00614_,21.72µm
_06566_,21.72µm
_02743_,21.7µm
_03429_,21.7µm
_04455_,21.7µm
_06718_,21.7µm
_00502_,21.68µm
_05780_,21.68µm
_06042_,21.68µm
_00163_,21.66µm
_02947_,21.64µm
_04318_,21.62µm
_01353_,21.6µm
_05247_,21.6µm
_01931_,21.58µm
_03121_,21.58µm
_00663_,21.56µm
_01298_,21.56µm
_01559_,21.56µm
_03196_,21.56µm
_04231_,21.56µm
_04878_,21.56µm
_03379_,21.52µm
_01286_,21.5µm
_04329_,21.5µm
_04851_,21.48µm
_00673_,21.46µm
_00393_,21.44µm
_04442_,21.44µm
_05634_,21.44µm
_03198_,21.38µm
_06713_,21.36µm
_01191_,21.34µm
_02139_,21.34µm
_06550_,21.32µm
_03988_,21.3µm
_05222_,21.3µm
_01192_,21.29µm
_00277_,21.28µm
_03117_,21.26µm
_03479_,21.26µm
_01274_,21.25µm
_04181_,21.25µm
_06639_,21.22µm
_01839_,21.2µm
_00494_,21.16µm
_05190_,21.14µm
_02598_,21.12µm
_03290_,21.12µm
_05935_,21.12µm
_06575_,21.12µm
_00724_,21.1µm
_03494_,21.08µm
_04539_,21.08µm
_04969_,21.08µm
_00900_,21.04µm
_04000_,21.04µm
_04253_,21.02µm
_06561_,21.02µm
_01399_,21µm
_01480_,20.98µm
_01627_,20.97µm
_06160_,20.96µm
_04971_,20.94µm
_02160_,20.92µm
_04057_,20.92µm
_03275_,20.9µm
_06445_,20.9µm
_00122_,20.88µm
_01184_,20.87µm
_02919_,20.84µm
_03041_,20.835µm
_03520_,20.8µm
_02188_,20.78µm
_02444_,20.78µm
_00968_,20.76µm
_05253_,20.76µm
_06691_,20.76µm
_03256_,20.74µm
_03579_,20.68µm
_05170_,20.68µm
_00986_,20.66µm
_04654_,20.66µm
_00278_,20.62µm
_00639_,20.56µm
_02688_,20.545µm
_02902_,20.52µm
_01271_,20.51µm
_00037_,20.5µm
_00518_,20.5µm
_02151_,20.5µm
_01015_,20.48µm
_01794_,20.475µm
_02461_,20.46µm
_03213_,20.435µm
_01312_,20.42µm
_03027_,20.42µm
_00656_,20.415µm
_06513_,20.38µm
_06404_,20.37µm
_06124_,20.36µm
net145,20.36µm
_00923_,20.34µm
_01231_,20.3µm
_00243_,20.28µm
_01834_,20.28µm
_04925_,20.28µm
_05060_,20.26µm
_00737_,20.24µm
_00911_,20.24µm
_02021_,20.24µm
_03000_,20.24µm
_03184_,20.24µm
_01823_,20.225µm
_02499_,20.22µm
_01952_,20.21µm
_02960_,20.2µm
_03566_,20.2µm
_01408_,20.18µm
_03025_,20.18µm
_01372_,20.16µm
_00636_,20.12µm
_01765_,20.12µm
_05472_,20.12µm
net209,20.12µm
_03594_,20.1µm
x2[3],20.1µm
_01795_,20.08µm
_03350_,20.08µm
_06674_,20.08µm
_03613_,20.04µm
_04180_,20.02µm
_05862_,20.02µm
_06278_,20.02µm
_05864_,20.005µm
_03773_,20µm
_05911_,20µm
_02204_,19.94µm
_02361_,19.9µm
_04825_,19.9µm
_06270_,19.9µm
_00643_,19.89µm
_01718_,19.88µm
_02605_,19.88µm
_02414_,19.86µm
_04189_,19.845µm
_01745_,19.84µm
_04122_,19.84µm
_01868_,19.825µm
_01499_,19.82µm
_02512_,19.82µm
_03874_,19.82µm
_05661_,19.82µm
_06180_,19.805µm
net328,19.795µm
_01210_,19.79µm
_01044_,19.78µm
_01789_,19.78µm
_04449_,19.76µm
_04948_,19.76µm
_03014_,19.75µm
_04762_,19.75µm
_01219_,19.7µm
_01840_,19.7µm
_04880_,19.7µm
_06230_,19.69µm
_04333_,19.68µm
_03341_,19.66µm
_05289_,19.66µm
_05490_,19.66µm
_00540_,19.62µm
_06300_,19.62µm
_01291_,19.6µm
_02983_,19.6µm
_05063_,19.6µm
_02554_,19.595µm
_05567_,19.58µm
_00830_,19.54µm
_02141_,19.54µm
_03528_,19.54µm
net164,19.52µm
_03029_,19.48µm
_04431_,19.48µm
_06010_,19.47µm
_03338_,19.46µm
_00201_,19.44µm
_01275_,19.44µm
_06134_,19.44µm
_03104_,19.43µm
_04913_,19.42µm
_01669_,19.4µm
_06351_,19.4µm
_06587_,19.4µm
_01309_,19.38µm
_02032_,19.36µm
_02456_,19.36µm
_05204_,19.36µm
_05655_,19.36µm
_00597_,19.32µm
_05197_,19.32µm
_02200_,19.3µm
_02250_,19.3µm
_04710_,19.3µm
_05308_,19.3µm
_06556_,19.3µm
_01704_,19.28µm
_02164_,19.28µm
_04004_,19.28µm
_04345_,19.28µm
_05650_,19.255µm
_02672_,19.24µm
_03522_,19.24µm
_03868_,19.24µm
_04946_,19.24µm
_03861_,19.215µm
_00669_,19.21µm
_03250_,19.2µm
_06075_,19.2µm
_01266_,19.18µm
_04368_,19.17µm
_00129_,19.16µm
_00544_,19.16µm
_02876_,19.16µm
_06144_,19.16µm
_00678_,19.14µm
_04330_,19.14µm
_04601_,19.14µm
_04991_,19.12µm
_01277_,19.1µm
_01485_,19.08µm
_04003_,19.08µm
_06074_,19.08µm
_05441_,19.06µm
_01972_,19.02µm
_03685_,19.02µm
_02603_,19µm
_02782_,18.98µm
_04505_,18.98µm
_06551_,18.98µm
_03035_,18.96µm
_03529_,18.96µm
_04602_,18.96µm
_01233_,18.94µm
_03526_,18.94µm
_05313_,18.94µm
_05380_,18.94µm
_02934_,18.92µm
_01216_,18.915µm
_01245_,18.9µm
_02681_,18.88µm
_02958_,18.86µm
_00801_,18.82µm
_01488_,18.82µm
_04924_,18.82µm
_05545_,18.82µm
_03996_,18.8µm
_03719_,18.795µm
_05815_,18.76µm
_06562_,18.74µm
_04002_,18.735µm
_04232_,18.72µm
_05879_,18.72µm
_01694_,18.7µm
_05544_,18.7µm
_05543_,18.68µm
_01762_,18.66µm
_03393_,18.66µm
_03474_,18.66µm
_00150_,18.615µm
_01217_,18.6µm
_02560_,18.6µm
_03359_,18.6µm
_05934_,18.6µm
_01491_,18.58µm
_03339_,18.58µm
_03806_,18.58µm
_05132_,18.58µm
_05362_,18.58µm
_02991_,18.54µm
_03731_,18.54µm
_03334_,18.52µm
_03748_,18.52µm
_03781_,18.52µm
_06603_,18.52µm
_03135_,18.5µm
_03714_,18.5µm
_05166_,18.5µm
_04666_,18.49µm
_05393_,18.49µm
_04302_,18.48µm
_05571_,18.48µm
_06101_,18.48µm
_06386_,18.48µm
_02686_,18.465µm
_02864_,18.46µm
_04156_,18.46µm
_05384_,18.46µm
_00202_,18.455µm
_00780_,18.445µm
_03802_,18.44µm
_05547_,18.44µm
_06364_,18.44µm
_02853_,18.42µm
_05391_,18.4µm
_00880_,18.38µm
_05401_,18.38µm
_03261_,18.365µm
_05137_,18.32µm
_03573_,18.3µm
_05969_,18.3µm
_06439_,18.285µm
_00225_,18.28µm
_00757_,18.26µm
_04912_,18.26µm
_02463_,18.24µm
_02903_,18.24µm
_03694_,18.24µm
_04786_,18.24µm
_05878_,18.24µm
_06027_,18.24µm
_05750_,18.22µm
_06682_,18.2µm
_00788_,18.12µm
_05398_,18.12µm
_02013_,18.1µm
_03652_,18.1µm
_04803_,18.1µm
_06464_,18.095µm
_06324_,18.085µm
_01003_,18.08µm
_03632_,18.08µm
_03959_,18.08µm
_06122_,18.06µm
_06281_,18.06µm
_00556_,18.04µm
_05142_,18.04µm
net240,18.04µm
_00866_,18.02µm
_00947_,18.02µm
_01258_,18.02µm
_04306_,18.02µm
_00412_,18.01µm
_01185_,18µm
_02775_,18µm
_00180_,17.96µm
_04146_,17.94µm
_04391_,17.94µm
_04905_,17.92µm
_04564_,17.9µm
_05177_,17.9µm
_06238_,17.89µm
_06043_,17.88µm
_01209_,17.86µm
_01603_,17.86µm
_02216_,17.86µm
_03314_,17.86µm
_06457_,17.86µm
_02044_,17.84µm
_03880_,17.82µm
_05029_,17.8µm
_00682_,17.76µm
_01731_,17.76µm
_05157_,17.76µm
_05743_,17.73µm
_04955_,17.72µm
_03238_,17.7µm
net204,17.7µm
_03199_,17.695µm
_03152_,17.68µm
_06184_,17.68µm
_01687_,17.66µm
_03105_,17.66µm
_03148_,17.64µm
_04983_,17.64µm
_05599_,17.64µm
_03179_,17.62µm
_04845_,17.62µm
_04382_,17.6µm
_04739_,17.6µm
_04775_,17.6µm
_05254_,17.6µm
_06052_,17.585µm
_00131_,17.58µm
_02215_,17.58µm
_01615_,17.56µm
_02224_,17.56µm
_03291_,17.56µm
_03433_,17.56µm
_04603_,17.56µm
_04722_,17.56µm
_01055_,17.54µm
_01498_,17.54µm
_03971_,17.54µm
_05048_,17.54µm
_06554_,17.54µm
_06730_,17.53µm
_01142_,17.52µm
_05809_,17.52µm
_06574_,17.5µm
_00542_,17.48µm
_01888_,17.48µm
_03641_,17.46µm
_01804_,17.44µm
_03943_,17.44µm
_04127_,17.44µm
_04324_,17.42µm
_04473_,17.42µm
_00343_,17.4µm
_00557_,17.4µm
_00075_,17.38µm
_02321_,17.38µm
_02990_,17.38µm
_06250_,17.36µm
net229,17.36µm
_01338_,17.32µm
_04027_,17.32µm
_05576_,17.305µm
_02040_,17.3µm
_03609_,17.3µm
net227,17.3µm
_06766_,17.27µm
_03867_,17.26µm
_01060_,17.24µm
_02301_,17.24µm
_01283_,17.23µm
_02475_,17.22µm
_06524_,17.22µm
x1[4],17.22µm
_03517_,17.2µm
_04014_,17.2µm
_05178_,17.2µm
_03452_,17.16µm
_03953_,17.16µm
_04022_,17.16µm
_06368_,17.16µm
_06724_,17.14µm
_00134_,17.1µm
_03013_,17.1µm
_03797_,17.1µm
_04849_,17.1µm
_05418_,17.1µm
_00644_,17.08µm
_01340_,17.08µm
_02634_,17.08µm
_05963_,17.08µm
_01727_,17.065µm
_02546_,17.065µm
_01424_,17.06µm
_06456_,17.06µm
_01504_,17.04µm
_04868_,17.04µm
_01548_,17.02µm
_03043_,17.02µm
_05090_,17.02µm
_06283_,17.02µm
_04430_,17µm
_04895_,17µm
_05526_,17µm
x2[6],17µm
_00375_,16.98µm
_00894_,16.98µm
_01570_,16.98µm
_03768_,16.98µm
_06133_,16.98µm
_04191_,16.97µm
_05202_,16.96µm
_05667_,16.96µm
_02807_,16.94µm
_03122_,16.94µm
_06131_,16.94µm
_02177_,16.92µm
_00634_,16.9µm
_02272_,16.9µm
_03570_,16.9µm
_04045_,16.9µm
_04447_,16.86µm
_03413_,16.84µm
_05738_,16.84µm
w12[6],16.84µm
_03809_,16.82µm
_04312_,16.82µm
_00687_,16.8µm
_02924_,16.8µm
_02153_,16.78µm
_01396_,16.76µm
_03948_,16.76µm
_01337_,16.74µm
_03678_,16.74µm
_04365_,16.74µm
_00549_,16.72µm
_01515_,16.72µm
_04377_,16.72µm
net140,16.72µm
_04173_,16.7µm
_04266_,16.7µm
_02443_,16.68µm
_03688_,16.68µm
_01072_,16.67µm
_03835_,16.66µm
_06031_,16.66µm
_00952_,16.635µm
_00162_,16.62µm
_01203_,16.62µm
_00004_,16.6µm
_01902_,16.6µm
_06553_,16.6µm
_06572_,16.6µm
_03908_,16.58µm
_04914_,16.58µm
_05564_,16.58µm
w32[4],16.58µm
_02055_,16.56µm
_03713_,16.56µm
_04428_,16.56µm
net210,16.56µm
_01341_,16.545µm
_05451_,16.54µm
_03292_,16.52µm
_03700_,16.52µm
_01838_,16.5µm
_03711_,16.5µm
_05016_,16.5µm
_05889_,16.5µm
_00094_,16.48µm
_00160_,16.48µm
_00694_,16.48µm
_02104_,16.48µm
_03890_,16.48µm
_05728_,16.48µm
_00693_,16.44µm
_02799_,16.44µm
net214,16.44µm
_01109_,16.42µm
_03061_,16.41µm
_06023_,16.41µm
_01688_,16.4µm
_05469_,16.4µm
_05833_,16.4µm
_01189_,16.38µm
_02803_,16.38µm
_03320_,16.38µm
w11[4],16.38µm
_06479_,16.37µm
_01172_,16.36µm
_02908_,16.36µm
_01462_,16.34µm
_02697_,16.34µm
_01849_,16.335µm
_00554_,16.33µm
_00428_,16.32µm
_01115_,16.32µm
_01366_,16.32µm
_01822_,16.32µm
_04412_,16.32µm
_03305_,16.305µm
_05633_,16.3µm
net213,16.3µm
_01783_,16.28µm
_02923_,16.28µm
_05558_,16.28µm
_06519_,16.28µm
_04755_,16.27µm
_00637_,16.26µm
_02537_,16.26µm
_00842_,16.22µm
_03480_,16.22µm
_05866_,16.22µm
_03548_,16.2µm
_04903_,16.2µm
_02278_,16.18µm
_03170_,16.18µm
_02581_,16.16µm
_03752_,16.16µm
_04263_,16.16µm
_05779_,16.16µm
_05224_,16.15µm
_02700_,16.14µm
_04858_,16.14µm
_04869_,16.14µm
_05199_,16.14µm
_01715_,16.105µm
_02698_,16.1µm
_04144_,16.1µm
_04378_,16.1µm
_05026_,16.1µm
_02956_,16.08µm
_03022_,16.08µm
_04872_,16.08µm
_06555_,16.08µm
_04689_,16.065µm
_00318_,16.06µm
_05018_,16.06µm
_05556_,16.06µm
_00195_,16.02µm
_01064_,16µm
_01342_,16µm
_03587_,15.98µm
_04126_,15.98µm
_01744_,15.96µm
_03740_,15.96µm
_00341_,15.94µm
_03136_,15.94µm
_05275_,15.94µm
_06389_,15.92µm
_06652_,15.92µm
_04961_,15.915µm
_03133_,15.905µm
_05501_,15.9µm
_01520_,15.88µm
_01681_,15.88µm
_05000_,15.88µm
_05741_,15.88µm
_01758_,15.84µm
_04683_,15.84µm
_05940_,15.84µm
net208,15.84µm
_00152_,15.82µm
_00534_,15.82µm
_00920_,15.82µm
_01700_,15.82µm
_01836_,15.82µm
_00451_,15.8µm
_02814_,15.8µm
_04675_,15.8µm
_05914_,15.8µm
_01926_,15.78µm
_02985_,15.78µm
_00539_,15.76µm
_00922_,15.76µm
_05861_,15.76µm
_00149_,15.74µm
_01796_,15.74µm
_00657_,15.72µm
_01198_,15.72µm
_04103_,15.72µm
_04527_,15.72µm
_05023_,15.72µm
_01406_,15.7µm
_06168_,15.7µm
y1[9],15.7µm
_02604_,15.68µm
_06137_,15.68µm
_06761_,15.68µm
_00138_,15.66µm
_01327_,15.64µm
_02468_,15.64µm
_03112_,15.64µm
_01725_,15.62µm
_01657_,15.6µm
_04067_,15.6µm
_04890_,15.6µm
_00470_,15.58µm
_00753_,15.58µm
_02514_,15.58µm
_02929_,15.58µm
_01384_,15.56µm
_05067_,15.56µm
_05349_,15.54µm
_05213_,15.52µm
_05427_,15.52µm
_00133_,15.5µm
_04289_,15.5µm
_05753_,15.5µm
_06557_,15.5µm
_01211_,15.48µm
_01883_,15.48µm
_04262_,15.48µm
_05640_,15.48µm
_06738_,15.48µm
_02582_,15.46µm
_05505_,15.46µm
_04425_,15.44µm
_00692_,15.42µm
_01158_,15.42µm
_01487_,15.42µm
_03999_,15.42µm
_02273_,15.4µm
_02721_,15.4µm
_04796_,15.39µm
_03097_,15.38µm
_03439_,15.38µm
_03947_,15.38µm
_06339_,15.365µm
_02186_,15.36µm
_02396_,15.36µm
_03159_,15.36µm
_03648_,15.36µm
_05388_,15.36µm
_00333_,15.34µm
_02123_,15.34µm
_03333_,15.34µm
_03930_,15.34µm
_06749_,15.34µm
_01860_,15.32µm
_03070_,15.32µm
_03571_,15.32µm
_05058_,15.32µm
_05559_,15.32µm
_05616_,15.32µm
_05651_,15.32µm
_06304_,15.32µm
_05898_,15.3µm
_01010_,15.28µm
_00050_,15.26µm
_00659_,15.26µm
_02099_,15.26µm
_04867_,15.26µm
_06509_,15.26µm
_06763_,15.26µm
_01695_,15.24µm
_02507_,15.24µm
_02770_,15.24µm
_03542_,15.24µm
_03559_,15.24µm
_05442_,15.23µm
_01160_,15.22µm
_02300_,15.22µm
_02779_,15.22µm
_03225_,15.22µm
_03298_,15.22µm
_04627_,15.22µm
_04866_,15.22µm
_04999_,15.22µm
_05167_,15.22µm
_06068_,15.22µm
_00097_,15.2µm
_00648_,15.2µm
_02786_,15.2µm
_05985_,15.17µm
_01328_,15.16µm
y2[10],15.16µm
_06072_,15.155µm
_00121_,15.14µm
_03107_,15.14µm
_04021_,15.14µm
_04171_,15.14µm
_05205_,15.13µm
_03830_,15.12µm
_04669_,15.12µm
_01295_,15.1µm
_01571_,15.1µm
_04757_,15.1µm
_01644_,15.07µm
_03288_,15.06µm
_05397_,15.06µm
_03020_,15.04µm
_02753_,15.025µm
_01156_,15.02µm
_02711_,15.02µm
_06425_,15.02µm
_02589_,15µm
_04807_,15µm
_05922_,15µm
net178,15µm
_05593_,14.985µm
_05516_,14.98µm
_05597_,14.98µm
_01165_,14.97µm
_03214_,14.97µm
_05461_,14.96µm
_05814_,14.955µm
_04032_,14.94µm
_05043_,14.94µm
_05171_,14.94µm
_00966_,14.92µm
_02997_,14.92µm
_03620_,14.92µm
_04626_,14.92µm
_06797_,14.92µm
_00181_,14.9µm
_00326_,14.9µm
_00426_,14.9µm
_01059_,14.9µm
_02591_,14.9µm
_03404_,14.9µm
_01549_,14.88µm
_06059_,14.88µm
_00203_,14.86µm
_05286_,14.86µm
_06686_,14.86µm
_00646_,14.84µm
_03777_,14.84µm
_04591_,14.82µm
_00010_,14.8µm
_02324_,14.8µm
_02341_,14.8µm
_05013_,14.8µm
_05293_,14.8µm
_06525_,14.8µm
y2[12],14.8µm
_00079_,14.78µm
_00145_,14.78µm
_01666_,14.78µm
_02771_,14.78µm
_02100_,14.76µm
_02992_,14.76µm
_03006_,14.76µm
_03138_,14.76µm
_03850_,14.76µm
_03859_,14.76µm
_06644_,14.74µm
_01743_,14.72µm
_03718_,14.72µm
_04056_,14.72µm
_06567_,14.72µm
_06743_,14.72µm
_02207_,14.68µm
_03683_,14.68µm
_00054_,14.66µm
_02851_,14.66µm
_00297_,14.64µm
_02371_,14.64µm
_04697_,14.64µm
_05071_,14.64µm
_01182_,14.63µm
_04042_,14.63µm
_04117_,14.62µm
_02075_,14.6µm
_02573_,14.6µm
_04177_,14.6µm
_00154_,14.58µm
_04874_,14.58µm
_02182_,14.57µm
_02685_,14.56µm
_05012_,14.56µm
_05347_,14.56µm
_05421_,14.56µm
_05588_,14.56µm
_06700_,14.56µm
_00662_,14.54µm
_01106_,14.54µm
w10[4],14.54µm
_02297_,14.52µm
_02430_,14.52µm
_03881_,14.52µm
_06647_,14.52µm
_06733_,14.52µm
_02690_,14.5µm
_02754_,14.5µm
_03009_,14.5µm
_01647_,14.48µm
_01674_,14.48µm
_04897_,14.48µm
_06129_,14.48µm
_06289_,14.48µm
_03776_,14.47µm
_02857_,14.46µm
_04305_,14.46µm
_04814_,14.46µm
net190,14.46µm
_00177_,14.44µm
_01379_,14.44µm
_03662_,14.44µm
_03758_,14.44µm
_04818_,14.44µm
_04871_,14.44µm
_01465_,14.42µm
_02124_,14.42µm
_04295_,14.42µm
_04838_,14.42µm
_06231_,14.42µm
_06363_,14.42µm
_06385_,14.42µm
_06422_,14.42µm
_00437_,14.4µm
_04857_,14.4µm
_00460_,14.38µm
_02949_,14.38µm
_04785_,14.38µm
_04920_,14.38µm
_05888_,14.36µm
_06741_,14.36µm
_00220_,14.34µm
_00415_,14.34µm
_03503_,14.34µm
_05309_,14.34µm
_05417_,14.34µm
_02964_,14.32µm
_03304_,14.32µm
_06540_,14.32µm
_01683_,14.3µm
_02218_,14.3µm
_04988_,14.3µm
_05600_,14.3µm
_05951_,14.3µm
_01414_,14.28µm
_01998_,14.28µm
_02438_,14.28µm
_05503_,14.28µm
_06723_,14.28µm
_00579_,14.26µm
_01022_,14.26µm
_05947_,14.26µm
_05511_,14.24µm
net236,14.24µm
_00731_,14.22µm
_01721_,14.22µm
_02458_,14.22µm
_04861_,14.22µm
_05059_,14.22µm
_06004_,14.22µm
_06816_,14.22µm
_01354_,14.2µm
_01361_,14.2µm
_06469_,14.2µm
_02115_,14.18µm
_05901_,14.18µm
_03113_,14.16µm
_04935_,14.16µm
_01661_,14.14µm
_03565_,14.14µm
net228,14.14µm
_02307_,14.12µm
_06485_,14.12µm
_06545_,14.12µm
_03319_,14.1µm
_03702_,14.1µm
_05068_,14.1µm
_02793_,14.09µm
_00670_,14.08µm
_00844_,14.08µm
_06353_,14.08µm
_00069_,14.06µm
_00709_,14.06µm
_02390_,14.06µm
_03857_,14.06µm
_06731_,14.06µm
_01138_,14.02µm
_02397_,14.02µm
_06624_,14.02µm
_03562_,14.005µm
_01496_,14µm
_02017_,14µm
_02815_,14µm
_04566_,14µm
_01190_,13.98µm
_02002_,13.98µm
_02140_,13.98µm
_03435_,13.98µm
_05395_,13.98µm
_05842_,13.98µm
_01134_,13.96µm
_01188_,13.96µm
_01324_,13.96µm
_02636_,13.96µm
_02761_,13.96µm
_03017_,13.96µm
_04104_,13.96µm
_04629_,13.96µm
net245,13.96µm
_03285_,13.94µm
_05183_,13.94µm
_01239_,13.935µm
_00881_,13.93µm
_01058_,13.92µm
_01320_,13.92µm
_04934_,13.92µm
_05027_,13.92µm
_05381_,13.92µm
_01617_,13.9µm
_02657_,13.9µm
_02843_,13.9µm
_04424_,13.9µm
_05065_,13.9µm
_00570_,13.88µm
_02283_,13.88µm
_03536_,13.88µm
_03673_,13.88µm
_04310_,13.88µm
_04380_,13.88µm
_04389_,13.88µm
_02820_,13.86µm
_04121_,13.86µm
_06138_,13.86µm
_00186_,13.84µm
_00907_,13.84µm
_00974_,13.84µm
_02085_,13.84µm
_03247_,13.84µm
_03360_,13.84µm
_03466_,13.84µm
_03532_,13.84µm
_04594_,13.84µm
_04687_,13.84µm
_05706_,13.84µm
_06506_,13.84µm
net173,13.84µm
_01331_,13.82µm
_04224_,13.82µm
_05152_,13.82µm
_05299_,13.82µm
_05150_,13.8µm
_05542_,13.8µm
w21[1],13.78µm
x1[7],13.78µm
_01890_,13.76µm
_03568_,13.76µm
_03621_,13.76µm
_04209_,13.76µm
_06119_,13.76µm
_06205_,13.76µm
_01679_,13.75µm
_00811_,13.74µm
_01892_,13.74µm
w12[0],13.74µm
w12[1],13.74µm
_00431_,13.72µm
_00756_,13.72µm
_01319_,13.72µm
_04526_,13.72µm
_03841_,13.715µm
_01096_,13.7µm
_01166_,13.7µm
_05923_,13.7µm
_01205_,13.68µm
_06706_,13.68µm
_04198_,13.675µm
_02360_,13.66µm
_02448_,13.66µm
_02576_,13.66µm
_01037_,13.65µm
_04406_,13.64µm
_04616_,13.64µm
_05416_,13.64µm
_05583_,13.64µm
_03410_,13.62µm
_03489_,13.62µm
w01[6],13.62µm
x1[0],13.62µm
_01560_,13.6µm
_02154_,13.6µm
_03741_,13.6µm
_04420_,13.6µm
_04816_,13.6µm
_05993_,13.6µm
_06773_,13.6µm
_05319_,13.58µm
_05343_,13.58µm
_05789_,13.575µm
_00806_,13.56µm
_05572_,13.56µm
net177,13.56µm
_03686_,13.55µm
_00005_,13.54µm
_01897_,13.54µm
_03987_,13.54µm
_05606_,13.54µm
_00686_,13.52µm
_01070_,13.52µm
_02727_,13.52µm
_02885_,13.52µm
_03739_,13.52µm
_04790_,13.52µm
_06388_,13.52µm
y1[8],13.52µm
_00336_,13.5µm
_00658_,13.5µm
_01332_,13.5µm
_01770_,13.5µm
_04440_,13.5µm
_01848_,13.48µm
_02734_,13.48µm
_05740_,13.48µm
_00146_,13.46µm
_02631_,13.46µm
_03174_,13.46µm
_00373_,13.44µm
_00602_,13.44µm
_00987_,13.44µm
_04143_,13.44µm
_04777_,13.44µm
_06501_,13.44µm
_01163_,13.42µm
_01250_,13.42µm
_02191_,13.42µm
_02694_,13.42µm
_03001_,13.42µm
_03383_,13.42µm
_03546_,13.42µm
_00109_,13.4µm
_03346_,13.4µm
_03541_,13.4µm
_03934_,13.4µm
_04445_,13.4µm
_00490_,13.38µm
_00794_,13.38µm
_04426_,13.38µm
_04690_,13.38µm
_04929_,13.38µm
_05034_,13.38µm
net78,13.38µm
_05749_,13.36µm
_06564_,13.36µm
_03735_,13.35µm
_05638_,13.345µm
_00760_,13.34µm
_01454_,13.34µm
_01492_,13.34µm
_03119_,13.34µm
_03234_,13.34µm
_03680_,13.34µm
_03743_,13.34µm
_04780_,13.34µm
_03751_,13.33µm
_00985_,13.32µm
_02980_,13.32µm
_04607_,13.32µm
_01301_,13.31µm
_02313_,13.31µm
