Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_136_390,VPWR,li1,186.3000,383.5200,1.798332
FILLER_136_378,VPWR,li1,179.8600,383.5200,1.798707
FILLER_136_370,VPWR,li1,177.5600,383.5200,1.798858
FILLER_136_363,VPWR,li1,172.7300,383.5200,1.799000
FILLER_136_355,VPWR,li1,169.0500,383.5200,1.798893
FILLER_136_351,VPWR,li1,167.9000,383.5200,1.798813
FILLER_136_335,VPWR,li1,159.8500,383.5200,1.798594
FILLER_136_321,VPWR,li1,154.1000,383.5200,1.798462
FILLER_136_309,VPWR,li1,150.4200,383.5200,1.798356
FILLER_136_305,VPWR,li1,146.5100,383.5200,1.798254
FILLER_136_296,VPWR,li1,142.1400,383.5200,1.798155
FILLER_136_288,VPWR,li1,138.2300,383.5200,1.798142
FILLER_136_265,VPWR,li1,128.1100,383.5200,1.798272
FILLER_136_253,VPWR,li1,124.6600,383.5200,1.798323
FILLER_136_244,VPWR,li1,119.6000,383.5200,1.798413
FILLER_136_238,VPWR,li1,115.2300,383.5200,1.798452
FILLER_136_230,VPWR,li1,111.5500,383.5200,1.798505
FILLER_136_226,VPWR,li1,110.4000,383.5200,1.798544
FILLER_136_214,VPWR,li1,106.7200,383.5200,1.798574
FILLER_136_171,VPWR,li1,84.4100,383.5200,1.798924
FILLER_136_165,VPWR,li1,82.8000,383.5200,1.798924
FILLER_136_153,VPWR,li1,78.6600,383.5200,1.798986
FILLER_136_141,VPWR,li1,73.1400,383.5200,1.799068
FILLER_136_139,VPWR,li1,69.6900,383.5200,1.799144
FILLER_136_133,VPWR,li1,68.0800,383.5200,1.799144
FILLER_136_121,VPWR,li1,63.9400,383.5200,1.799206
FILLER_136_109,VPWR,li1,58.4200,383.5200,1.799305
FILLER_136_97,VPWR,li1,52.9000,383.5200,1.799370
FILLER_136_85,VPWR,li1,47.3800,383.5200,1.799453
FILLER_136_83,VPWR,li1,43.9300,383.5200,1.799528
FILLER_136_77,VPWR,li1,42.3200,383.5200,1.799528
FILLER_136_65,VPWR,li1,38.1800,383.5200,1.799590
FILLER_136_53,VPWR,li1,32.6600,383.5200,1.799672
FILLER_136_41,VPWR,li1,27.1400,383.5200,1.799768
FILLER_136_29,VPWR,li1,21.6200,383.5200,1.799851
FILLER_136_27,VPWR,li1,18.1700,383.5200,1.799851
FILLER_136_15,VPWR,li1,15.1800,383.5200,1.799851
FILLER_136_3,VPWR,li1,9.6600,383.5200,1.799851
FILLER_135_821,VPWR,li1,383.8700,378.0800,1.799104
FILLER_135_809,VPWR,li1,380.4200,378.0800,1.799104
FILLER_135_797,VPWR,li1,374.9000,378.0800,1.799104
FILLER_135_785,VPWR,li1,369.3800,378.0800,1.799104
FILLER_135_783,VPWR,li1,365.9300,378.0800,1.799104
FILLER_135_777,VPWR,li1,364.3200,378.0800,1.799104
FILLER_135_765,VPWR,li1,360.1800,378.0800,1.799104
FILLER_135_753,VPWR,li1,354.6600,378.0800,1.799104
FILLER_135_741,VPWR,li1,349.1400,378.0800,1.799104
FILLER_135_729,VPWR,li1,343.6200,378.0800,1.799104
FILLER_135_722,VPWR,li1,339.0200,378.0800,1.799104
FILLER_135_700,VPWR,li1,327.9800,378.0800,1.798993
FILLER_135_682,VPWR,li1,322.0000,378.0800,1.798552
FILLER_135_668,VPWR,li1,313.7200,378.0800,1.797901
FILLER_135_659,VPWR,li1,309.1200,378.0800,1.797602
FILLER_135_645,VPWR,li1,302.6800,378.0800,1.797168
FILLER_135_637,VPWR,li1,300.3800,378.0800,1.797048
FILLER_135_629,VPWR,li1,295.5500,378.0800,1.796719
FILLER_135_617,VPWR,li1,292.1000,378.0800,1.796619
FILLER_135_613,VPWR,li1,288.1900,378.0800,1.796430
FILLER_135_606,VPWR,li1,284.5100,378.0800,1.796216
FILLER_135_602,VPWR,li1,283.3600,378.0800,1.796216
FILLER_135_594,VPWR,li1,278.9900,378.0800,1.796049
FILLER_135_581,VPWR,li1,273.4700,378.0800,1.796044
FILLER_135_573,VPWR,li1,270.9400,378.0800,1.796075
FILLER_135_561,VPWR,li1,266.3400,378.0800,1.796124
FILLER_135_558,VPWR,li1,262.6600,378.0800,1.796158
FILLER_135_546,VPWR,li1,259.4400,378.0800,1.796196
FILLER_135_540,VPWR,li1,254.1500,378.0800,1.796257
FILLER_135_529,VPWR,li1,249.3200,378.0800,1.796303
FILLER_135_517,VPWR,li1,246.1000,378.0800,1.796342
FILLER_135_505,VPWR,li1,240.5800,378.0800,1.796402
FILLER_135_492,VPWR,li1,234.6000,378.0800,1.796454
FILLER_135_480,VPWR,li1,229.0800,378.0800,1.796530
FILLER_135_468,VPWR,li1,223.5600,378.0800,1.796572
FILLER_135_464,VPWR,li1,219.1900,378.0800,1.796620
FILLER_135_456,VPWR,li1,217.1200,378.0800,1.796675
FILLER_135_444,VPWR,li1,209.9900,378.0800,1.796914
FILLER_135_432,VPWR,li1,207.0000,378.0800,1.797110
FILLER_135_420,VPWR,li1,201.4800,378.0800,1.797348
FILLER_135_408,VPWR,li1,195.9600,378.0800,1.797737
FILLER_135_399,VPWR,li1,189.2900,378.0800,1.798154
FILLER_135_383,VPWR,li1,183.0800,378.0800,1.798432
FILLER_135_375,VPWR,li1,178.2500,378.0800,1.798725
FILLER_135_369,VPWR,li1,176.6400,378.0800,1.798907
FILLER_135_357,VPWR,li1,172.5000,378.0800,1.798752
FILLER_135_337,VPWR,li1,161.4600,378.0800,1.798292
FILLER_135_335,VPWR,li1,159.8500,378.0800,1.798190
FILLER_135_331,VPWR,li1,158.0100,378.0800,1.798107
FILLER_135_327,VPWR,li1,156.8600,378.0800,1.798107
FILLER_135_318,VPWR,li1,153.1800,378.0800,1.797914
FILLER_135_281,VPWR,li1,135.7000,378.0800,1.797432
FILLER_135_265,VPWR,li1,129.2600,378.0800,1.797444
FILLER_135_257,VPWR,li1,123.9700,378.0800,1.797492
FILLER_135_249,VPWR,li1,120.2900,378.0800,1.797575
FILLER_135_245,VPWR,li1,119.1400,378.0800,1.797575
FILLER_135_233,VPWR,li1,115.4600,378.0800,1.797627
FILLER_135_223,VPWR,li1,108.3300,378.0800,1.797744
FILLER_135_217,VPWR,li1,106.7200,378.0800,1.797775
FILLER_135_190,VPWR,li1,94.7600,378.0800,1.797990
FILLER_135_177,VPWR,li1,87.4000,378.0800,1.798102
FILLER_135_169,VPWR,li1,85.1000,378.0800,1.798134
FILLER_135_167,VPWR,li1,82.5700,378.0800,1.798221
FILLER_135_161,VPWR,li1,80.9600,378.0800,1.798221
FILLER_135_149,VPWR,li1,76.8200,378.0800,1.798325
FILLER_135_137,VPWR,li1,71.3000,378.0800,1.798504
FILLER_135_125,VPWR,li1,65.7800,378.0800,1.798609
FILLER_135_113,VPWR,li1,60.2600,378.0800,1.798743
FILLER_135_111,VPWR,li1,56.8100,378.0800,1.798872
FILLER_135_105,VPWR,li1,55.2000,378.0800,1.798872
FILLER_135_93,VPWR,li1,51.0600,378.0800,1.798977
FILLER_135_81,VPWR,li1,45.5400,378.0800,1.799146
FILLER_135_69,VPWR,li1,40.0200,378.0800,1.799256
FILLER_135_57,VPWR,li1,34.5000,378.0800,1.799396
FILLER_135_55,VPWR,li1,31.0500,378.0800,1.799513
FILLER_135_51,VPWR,li1,29.9000,378.0800,1.799513
FILLER_135_39,VPWR,li1,26.2200,378.0800,1.799606
FILLER_135_27,VPWR,li1,20.7000,378.0800,1.799746
FILLER_135_15,VPWR,li1,15.1800,378.0800,1.799746
FILLER_135_3,VPWR,li1,9.6600,378.0800,1.799746
