Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_136_769,VGND,li1,362.0200,380.8000,0.001267
FILLER_136_757,VGND,li1,356.5000,380.8000,0.001267
FILLER_136_752,VGND,li1,352.3600,380.8000,0.001267
FILLER_136_729,VGND,li1,341.5500,380.8000,0.001262
FILLER_136_717,VGND,li1,338.1000,380.8000,0.001260
FILLER_136_705,VGND,li1,332.5800,380.8000,0.001245
FILLER_136_692,VGND,li1,325.6800,380.8000,0.001927
FILLER_136_680,VGND,li1,321.0800,380.8000,0.002472
FILLER_136_656,VGND,li1,308.2000,380.8000,0.004110
FILLER_136_645,VGND,li1,302.4500,380.8000,0.004596
FILLER_136_625,VGND,li1,293.2500,380.8000,0.005403
FILLER_136_617,VGND,li1,291.1800,380.8000,0.005543
FILLER_136_601,VGND,li1,282.4400,380.8000,0.005999
FILLER_136_587,VGND,li1,275.7700,380.8000,0.006016
FILLER_136_579,VGND,li1,273.7000,380.8000,0.005937
FILLER_136_562,VGND,li1,264.7300,380.8000,0.005635
FILLER_136_522,VGND,li1,246.3300,380.8000,0.004982
FILLER_136_514,VGND,li1,243.8000,380.8000,0.004901
FILLER_136_507,VGND,li1,238.9700,380.8000,0.004730
FILLER_136_498,VGND,li1,235.0600,380.8000,0.004592
FILLER_136_484,VGND,li1,228.6200,380.8000,0.004365
FILLER_136_468,VGND,li1,221.0300,380.8000,0.004096
FILLER_136_449,VGND,li1,213.9000,380.8000,0.003834
FILLER_136_437,VGND,li1,209.3000,380.8000,0.003624
FILLER_136_419,VGND,li1,198.4900,380.8000,0.002933
FILLER_136_413,VGND,li1,196.8800,380.8000,0.002715
FILLER_136_404,VGND,li1,192.0500,380.8000,0.002320
FILLER_136_390,VGND,li1,186.3000,380.8000,0.001784
FILLER_136_378,VGND,li1,179.8600,380.8000,0.001230
FILLER_136_370,VGND,li1,177.5600,380.8000,0.001307
FILLER_136_363,VGND,li1,172.7300,380.8000,0.001449
FILLER_136_355,VGND,li1,169.0500,380.8000,0.001583
FILLER_136_351,VGND,li1,167.9000,380.8000,0.001684
FILLER_136_335,VGND,li1,159.8500,380.8000,0.001918
FILLER_136_321,VGND,li1,154.1000,380.8000,0.002158
FILLER_136_309,VGND,li1,150.4200,380.8000,0.002258
